Mes,Dia,Inicio,Fin,Promedio_exterior,Promedio_interior,Promedio_clima,Corr(Ext-Clima),Corr(Int-Clima)
Mayo,1,11:30,12:00,30,24,21,-0.128,0.464
Mayo,1,12:00,12:30,31,24,21,0.074,0.477
Mayo,1,12:30,13:00,31,24,21,-0.008,0.565
Mayo,1,13:00,13:30,31,24,22,-0.048,0.428
Mayo,1,13:30,14:00,31,24,22,-0.006,0.412
Mayo,1,14:00,14:30,32,24,21,-0.037,0.478
Mayo,1,14:30,15:00,32,25,22,0.331,0.513
Mayo,1,15:00,15:30,32,24,22,0.021,0.45
Mayo,1,15:30,16:00,32,24,22,-0.051,0.505
Mayo,1,16:00,16:30,32,24,22,0.118,0.484
Mayo,1,16:30,17:00,31,24,21,-0.046,0.339
Mayo,1,17:00,17:30,31,24,22,0.01,0.591
Mayo,1,17:30,18:00,31,24,21,0.003,0.548
Mayo,1,18:00,18:30,30,24,22,0.155,0.656
Mayo,1,18:30,19:00,30,24,22,0.188,0.498
Mayo,1,19:00,19:30,30,24,21,-0.03,0.502
Mayo,1,19:30,20:00,29,24,21,-0.151,0.461
